number,forum,title,abstract,num Reviewers,num submitted Reviewers,missing Reviewers,min rating,max rating,average rating,min confidence,max confidence,average confidence,num Area Chairs assigned,num submitted Area Chairs,Meta Review,decision,Senior Area Chairs
147,https://openreview.net/forum?id=m2hrPJJe8W,Spatial-Frequency Domain Aggregation for Visual Place Recognition,"Visual place recognition (VPR) aims to identify an image by matching its global representation with those of reference images. Existing methods primarily aggregate features in the spatial domain, usually ignoring critical global or structural information embedded in the frequency domain. To address this limitation, we propose Dual-Domain Aggregation for Visual Place Recognition (DDA-VPR), which jointly integrates spatial and frequency domain features to enhance global representation aggregation. The core motivation is that the frequency domain inherently captures global and structural patterns, offering complementary and discriminative cues that are difficult to capture in the spatial domain. To bridge the domain gap between spatial and frequency features, a triple fusion strategy is introduced to facilitate cross-domain interaction and fuse spatial and frequency domain features into a unified and robust global representation. Additionally, to refine feature abstraction in both domains, a multi-scale contextual attention module is designed to leverage multi-scale information and preserve critical details during downsampling. Consequently, DDA-VPR generates more discriminative representations than methods that aggregate features solely in the spatial domain. Extensive experiments on challenging benchmarks demonstrate the superior performance of DDA-VPR, validating the effectiveness of dual-domain aggregation in VPR.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Charith Abhayaratne
150,https://openreview.net/forum?id=xS0TSBZvKB,WTNet: A Weather Transfer Network for Domain-Adaptive All-In-One Adverse Weather Image Restoration,"All-in-one adverse weather image restoration has attracted increasing attention due to its ability to recover high-quality images in a unified model. However, existing methods often suffer from significant performance drops due to the domain gap between training and testing images. Moreover, they typically yield only balanced, rather than optimal, performance across different weather conditions, especially when compared to models trained in a weather-specific manner. To solve this problem, we propose a novel Weather Transfer Network (WTNet), which fine-tunes all-in-one models to enhance their performance during testing. As paired degraded-clean images are unavailable during testing, WTNet transfers degraded patterns from unseen target domains to the source-domain clean images, thereby constructing domain-adaptive fine-tuning sets for effective domain adaptation. Additionally, by leveraging these fine-tuning sets, all-in-one models can be dynamically adapted to weather-specific or mixed weather models based on the degradation patterns observed during testing. Experimental results demonstrate that WTNet can significantly enhance state-of-the-art all-in-one models on benchmark real-world image deraining, desnowing, and dehazing datasets.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Jun Liu
154,https://openreview.net/forum?id=QYpBt4pIqZ,Seed-to-Seed: Unpaired Image Translation in Diffusion Seed Space,"We introduce Seed-to-Seed Translation (StS), a novel approach that combines GANs and diffusion models (DMs) for unpaired Image-to-Image Translation. Our approach is aimed at global translations of complex automotive scenes, where close adherence to the structure and semantics of the source image is essential. We demonstrate that the semantic information encoded in the space of inverted seeds of a pretrained DM, dubbed as the seed-space, can be used for discriminative tasks, and leverage this information to perform image-to-image translation. Our method involves training an sts-GAN, an unpaired seed-to-seed translation model, based on CycleGAN. The translated seeds are used as the starting point for the DM’s sampling process, while structure preservation is ensured using a ControlNet. We demonstrate the effectiveness of our approach for structure-preserving translation of complex automotive scenes, showcasing superior performance compared to existing GAN-based and diffusion-based methods. In addition to advancing the SoTA in automotive scene translations, our approach offers a fresh perspective on leveraging the semantic information encoded within the seed-space of pretrained DMs for effective image editing and manipulation.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Zhixiang Chen
159,https://openreview.net/forum?id=hG3sgNwHLk,Identity-Motion Trade-offs in Text-to-Video Generation,"Text-to-video diffusion models have shown remarkable progress in generating coherent video clips from textual descriptions. However, the interplay between motion, structure, and identity representations in these models remains under-explored. Here, we investigate how self-attention query ($Q$) features simultaneously govern motion, structure, and identity and examine the challenges arising when these representations interact. Our analysis reveals that Q affects not only layout, but that during denoising Q also has a strong effect on subject identity, making it hard to transfer motion without the side-effect of transferring identity. Understanding this dual role enabled us to control query feature injection (Q injection) and demonstrate two applications: (1) a zero-shot motion transfer method that is 10$\times$ more efficient than existing approaches, and (2) a training-free technique for consistent multi-shot video generation, where characters maintain identity across multiple video shots while Q injection enhances motion fidelity.",5,4,~Xingli_Yang1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Jun Liu
165,https://openreview.net/forum?id=Mfzol6CwP7,Four eyes see more than two: Dataset Distillation with Mixture-of-Experts,"The ever-growing size of datasets in deep learning presents a significant challenge in terms of training efficiency and computational cost. Dataset distillation (DD) has emerged as a promising approach to address this challenge by generating compact synthetic datasets that retain the essential information of the original data. However, existing DD methods often suffer from performance degradation when transferring distilled datasets across different network architectures (i.e. the model utilizing distilled dataset for further training is different from the one used in dataset distillation). To overcome this limitation, we propose a novel mixture-of-experts framework for dataset distillation. Our goal focuses on promoting diversity within the distilled dataset by distributing the distillation tasks to multiple expert models. Each expert specializes in distilling a distinct subset of the dataset, encouraging them to capture different aspects of the original data distribution. To further enhance diversity, we introduce a distance correlation minimization strategy to encourage the experts to learn distinct representations. Moreover, during the testing stage (where the distilled dataset is used for training a new model), the mixup-based fusion strategy is applied to better leverage the complementary information captured by each expert. Through extensive experiments, we demonstrate that our framework effectively mitigates the issue of cross-architecture performance degradation in dataset distillation, particularly in low-data regimes, leading to more efficient and versatile deep learning models while being trained upon the distilled dataset.",7,4,~Tae-Min_Choi1|~Muhammad_Abdullah_Adnan1|~Haonan_Wang6,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Zhixiang Chen
168,https://openreview.net/forum?id=7N6QAVqSsA,PSScreen: Partially Supervised Multiple Retinal Disease Screening,"Leveraging multiple partially labeled datasets to train a model for multiple retinal disease screening reduces the reliance on fully annotated datasets, but remains challenging due to significant domain shifts across training datasets from various medical sites, and the label absent issue for partial classes. To solve these challenges, we propose PSScreen, a novel Partially Supervised multiple retinal disease Screening model. Our PSScreen consists of two streams and one learns deterministic features and the other learns probabilistic features via instance normalization integrated with uncertainty injection. Then, we leverage the textual guidance to decouple two types of features into disease-wise features and align them via feature distillation to boost the domain generalization ability. Meanwhile, we employ pseudo label consistency regularization between the two streams to address the label absence issue and introduce a self-distillation to transfer the task-relevant semantics about the known classes from the deterministic to the probabilistic stream to further enhance the detection performances. Experiments show that our PSScreen significantly enhances the detection performances on six retinal diseases and the normal state averagely and achieves state-of-the-art results on both in-domain and out-of-domain datasets. Codes are available at https://anonymous.4open.science/r/PSScreen-CA13.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Fani Deligianni
173,https://openreview.net/forum?id=lVFJFDqZLV,CellMamba: Adaptive Mamba for Accurate and Efficient Cell Detection,"Cell detection in pathological images presents unique challenges due to densely packed objects, subtle inter-class differences, and severe background clutter. In this paper, we propose CellMamba, a lightweight and accurate one-stage detector tailored for fine-grained biomedical instance detection. Built upon a VSSD backbone, CellMamba integrates CellMamba Blocks, which couple either NC-Mamba or Multi-Head Self-Attention (MSA) with a novel Triple-Mapping Adaptive Coupling (TMAC) module. TMAC enhances spatial discriminability by splitting channels into two branches, each equipped with dual idiosyncratic and one consensus attention map, adaptively fused to preserve local sensitivity and global consistency. Furthermore, we design an Adaptive Mamba Head that fuses multi-scale features via learnable weights for robust detection under varying object sizes. Extensive experiments on two public datasets—CoNSeP and CytoDArk0—demonstrate that CellMamba outperforms both CNN-based, Transformer-based, and Mamba-based baselines in accuracy, while significantly reducing model size and inference latency. Our results validate CellMamba as an efficient and effective solution for high-resolution cell detection.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Fani Deligianni
181,https://openreview.net/forum?id=RWyuBFm1z0,LuKAN: A Kolmogorov-Arnold Network Framework for 3D Human Motion Prediction,"The goal of 3D human motion prediction is to forecast future 3D poses of the human body based on historical motion data. Existing methods often face limitations in achieving a balance between prediction accuracy and computational efficiency. In this paper, we present LuKAN, an effective model based on Kolmogorov-Arnold Networks (KANs) with Lucas polynomial activations. Our model first applies the discrete wavelet transform to encode temporal information in the input motion sequence. Then, a spatial projection layer is used to capture inter-joint dependencies, ensuring structural consistency of the human body. At the core of LuKAN is the Temporal Dependency Learner, which employs a KAN layer parameterized by Lucas polynomials for efficient function approximation. These polynomials provide computational efficiency and an enhanced capability to handle oscillatory behaviors. Finally, the inverse discrete wavelet transform reconstructs motion sequences in the time domain, generating temporally coherent predictions. Extensive experiments on three benchmark datasets demonstrate the competitive performance of our model compared to strong baselines, as evidenced by both quantitative and qualitative evaluations. Moreover, its compact architecture coupled with the linear recurrence of Lucas polynomials, ensures computational efficiency.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Edmond S. L. Ho
182,https://openreview.net/forum?id=8T2g72mULl,eXtended Multimodal Composite Association Score (xMCAS): A Gender Inclusive Approach to Measurement of Bias in Text-To-Image Diffusion Models,Text-To-Image Diffusion Models such as DALL-E and Stable Diffusion have become extremely capable of generating images from text prompts. They have also been shown to exhibit stereotypical gender bias. Previous research has identified and measured the prevalence of gender bias in a binary sense. We introduce eXtended Multimodal Composite Association Score (xMCAS): a novel and easy-to-interpret metric capable of detecting and measuring gender bias adopting a more inclusive concept of gender. Our analysis using this metric revealed the presence of stereotypical concepts of non-binary people in both DALL-E 2 and Stable Diffusion.,3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Edmond S. L. Ho
184,https://openreview.net/forum?id=D5u47wujSA,Graph Similarity Learning of Floor Plans,"Architectural floor plans visually depict building layouts and are often represented as graphs to capture their underlying spatial relationships. 
Efficient comparison of these graphs is critical for applications like search, clustering, and data visualization. 
Graph matching networks -- the most successful methods to compare graphs, rely on costly intermediate cross-graph node-level interactions, therefore being slow in inference time. 
We introduce a more efficient approach that postpones the cross-graph node-level interactions to the end of the joint embedding architecture.
We do so by using a differentiable path-based graph kernel as a distance function on the final learned node-level embeddings.
Compared to graph matching networks, our method is qualitatively comparable or better while significantly increasing the speed.
Code is open.",5,3,~Giuseppe_Mangioni1|~Simon_Weber1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Charith Abhayaratne
195,https://openreview.net/forum?id=QB6pSewUYB,Proto-FG3D: Prototype-based Interpretable Fine-Grained 3D Shape Classification,"Deep learning-based multi-view coarse-grained 3D shape classification has achieved remarkable success over the past decade, leveraging the powerful feature learning capabilities of CNN-based and ViT-based backbones. However, as a challenging research area critical for detailed shape understanding, fine-grained 3D classification remains understudied due to the limited discriminative information captured during multi-view feature aggregation, particularly for subtle inter-class variations, class imbalance, and inherent interpretability limitations of parametric model. To address these problems, we propose the first prototype-based framework named Proto-FG3D for fine-grained 3D shape classification, achieving a paradigm shift from parametric softmax to non-parametric prototype learning. Firstly, Proto-FG3D establishes joint multi-view and multi-category representation learning via Prototype Association. Secondly, prototypes are refined via Online Clustering, improving both the robustness of multi-view feature allocation and inter-subclass balance. Finally, prototype-guided supervised learning is established to enhance fine-grained discrimination via prototype-view correlation analysis and enables ad-hoc interpretability through transparent case-based reasoning. Experiments on FG3D and ModelNet40 show Proto-FG3D surpasses state-of-the-art methods in accuracy, transparent predictions, and ad-hoc interpretability with visualizations, challenging conventional fine-grained 3D recognition approaches.",5,3,~Hao_Huang3|~Riccardo_Renzulli1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Charith Abhayaratne
211,https://openreview.net/forum?id=Fykj9CshfZ,Efficient Image Restoration via Latent Consistency Flow Matching,"Recent advances in generative image restoration (IR) have demonstrated impressive results. However, these methods are hindered by their substantial size and computational demands, rendering them unsuitable for deployment on edge devices. This work introduces ELIR, an Efficient Latent Image Restoration method. ELIR addresses the distortion-perception trade-off within the latent space and produces high-quality images using a latent consistency flow-based model. In addition, ELIR introduces an efficient and lightweight architecture. Consequently, ELIR is 4x smaller and faster than state-of-the-art diffusion and flow-based approaches for blind face restoration, enabling a deployment on resource-constrained devices. Comprehensive evaluations of various image restoration tasks and datasets show that ELIR achieves competitive performance compared to state-of-the-art methods, effectively balancing distortion and perceptual quality metrics while significantly reducing model size and computational cost.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jun Liu
218,https://openreview.net/forum?id=qXRLHXOAoa,Bridging Visual-Textual Modalities: Weakly Supervised Histopathology Segmentation,"In weakly supervised histopathology tissue segmentation, Class Activation Maps (CAMs) are commonly used to generate pseudo-masks. However, CAMs typically highlight only the most discriminative regions, leading to inaccurate tissue boundaries. Existing visual-based refinement strategies often exacerbate information loss, while text-based methods suffer from high inter-class similarity and a semantic gap between pixel-level features and text labels. To overcome these limitations, we propose a two-stage segmentation framework that jointly models a bidirectional shared latent space between visual and textual modalities to enhance pseudo-mask quality. In the segmentation (second) stage, we incorporate complex tissue textual descriptions as external discriminative knowledge to compensate for insufficient supervision. We further develop a multi-stage modality fusion strategy based on learnable query tokens and Fourier transforms. Experiments conducted on the LUAD-HistoSeg and BCSS-WSSS datasets demonstrate that our method surpasses state-of-the-art weakly supervised tissue segmentation approaches.",7,3,~Shams_Ur_Rahman1|~Hoang_Vu_Nguyen2|~Woojung_Han1|~Debanjan_Goswami1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Fani Deligianni
220,https://openreview.net/forum?id=6RwMpBlZVf,LiDAR MOT-DETR: A LiDAR-based Two-Stage Transformer for 3D Multiple Object Tracking,"Multi-object tracking from LiDAR point clouds presents unique challenges due to the sparse and irregular nature of the data, compounded by the need for temporal coherence across frames. Traditional tracking systems often rely on hand-crafted features and motion models, which can struggle to maintain consistent object identities in crowded or fast-moving scenes. We present a lidar-based two-staged DETR inspired transformer; a smoother and tracker. The smoother stage refines lidar object detections, from any off-the-shelf detector, across a moving temporal window. The tracker stage uses a DETR-based attention block to maintain tracks across time by associating tracked objects with the refined detections using the point cloud as context.
The model is trained on the datasets nuScenes and KITTI in both online and offline (forward peeking) modes demonstrating strong performance across metrics such as ID-switch and multiple object tracking accuracy (MOTA). The numerical results indicate that the online mode outperforms the lidar-only baseline and SOTA models on the nuScenes dataset, with an aMOTA of 0.722 and an aMOTP of 0.475, while the offline mode provides an additional 3 pp aMOTP.",5,4,~Shuai_Li19,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Zhixiang Chen
228,https://openreview.net/forum?id=Jbuqt7Bh95,Dual-Expert Collaborative Network for Fake News Detection with External Knowledge Integration,"The pervasive dissemination of misinformation has imposed a profound negative impact on societal structures, making multi-modal fake news detection an urgent research priority. Traditional approaches mainly focus on evaluating the authenticity and consistency of the original news modalities, often neglecting the contextual understanding necessary to avoid cognitive biases in complex scenarios. In this paper, we propose a Dual-Expert Collaborative Network (DECNet) for fake news detection, a novel approach that integrates original news content with external knowledge. Specifically, we leverage multi-scale images to extract visual features and design a Content-Driven Expert (CDE) that performs hierarchical fusion with textual data, enhancing semantic alignment and uncovering deeper insights of news content. Simultaneously, inspired by the reasoning capabilities of Large Vision-Language Models (LVLMs), we propose a Knowledge-Augmentation Expert (KAE) that leverages generated explanations alongside the inherent multi-modal information of the news to capture subtle cues indicative of fake news. To facilitate interaction between these two branches, a gating network is designed for seamless collaboration. Extensive experiments on two widely-employed datasets demonstrate that our method outperforms current state-of-the-art approaches.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Charith Abhayaratne
232,https://openreview.net/forum?id=QjPSRro6rI,Unsupervised Video Continual Learning via Non-Parametric Deep Embedded Clustering,"We propose a simple yet effective approach to tackle the under-explored problem of unsupervised video continual learning, in a realistic scenario where neither task boundaries nor labels are provided for learning a succession of tasks without forgetting. Videos represent a complex and rich spatio-temporal media information, widely used in many applications, but which have not been sufficiently explored in unsupervised continual learning. Prior studies have only focused on supervised continual learning, relying on the knowledge of labels and task boundaries, which is costly and not practical in real scenarios. To address this gap, in this paper we study unsupervised video continual learning, which poses more challenges than the image domain concerning processing and memory requirements. We introduce a general benchmark experimental protocol for unsupervised continual learning of video, by learning a mixture of video data categories during each task. Our proposed approach relies on the Kernel Density Estimation (KDE) of deep embedded video features extracted by unsupervised video transformer networks, enabling the unsupervised structuring of learned information. We introduce a novelty detection criterion that leverages the network confidence when creating new clusters from incoming data. The novelty detection criterion dynamically enables the expansion of a set of memory clusters, derived form the KDE data representation, aiming to capture new knowledge when learning a succession of tasks. We leverage the use of transfer learning from the previous tasks as an initial state for the knowledge transfer to the current learning task. We found that the proposed methodology substantially enhances its performance when successively learning many tasks. We perform in-depth evaluations on three standard video action recognition datasets, including UCF101, HMDB51, and Something-to-Something V2, without using any labels or class boundaries.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jefersson A Dos Santos
238,https://openreview.net/forum?id=1rtTRQNbfG,Capture and Reconstruct 3D Clothed Human from Images,"The reconstruction of multi-layer 3D garments typically requires expensive multi-view capture setups and specialized 3D editing efforts. To create like-life clothed human avatars with ease, we propose a method for reconstructing multi-layer clothed humans using a new data modality, Image Layers, which captures a subject wearing different layers of clothing with a single RGB camera. To achieve physically plausible 3D clothing reconstruction from multiple 2D layered images, a unified 3D coordinate is necessary to model these garments in a layered manner. We reconstruct and register garment meshes on top of a shared human body in the canonical pose. Complementing this layered representation, we introduce a collision-aware optimization process to address inter-penetrations and represent the garments to implicit neural fields for refinement. Our method is template-free and category-agnostic, which allows for the reconstruction of 3D garments in diverse clothing styles. Through our experiments, we show that our method efficiently reconstructs simulation-compatible 3D clothing and achieves competitive performance compared to methods trained with category-specific data.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Edmond S. L. Ho
239,https://openreview.net/forum?id=t52W20USpH,REACT: Real-time Efficiency and Accuracy Compromise for Tradeoffs in Scene Graph Generation,"Scene Graph Generation (SGG) is a task that encodes visual relationships between objects in images as graph structures. SGG shows significant promise as a foundational component for downstream tasks, such as reasoning for embodied agents. To enable real-time applications, SGG must address the trade-off between performance and inference speed. However, current methods tend to focus on one of the following: (1) improving relation prediction accuracy, (2) enhancing object detection accuracy, or (3) reducing latency, without aiming to balance all three objectives simultaneously.
To address this limitation, we propose a novel architecture, inference method, and relation prediction model. Our proposed solution, the REACT model, achieves the highest inference speed among existing SGG models, improving object detection accuracy without sacrificing relation prediction performance. Compared to state-of-the-art approaches, REACT is 2.7 times faster and improves object detection accuracy by 58\%. Furthermore, our proposal significantly reduces model size, with an average of 5.5x fewer parameters.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Oral),Accept,Edmond S. L. Ho
257,https://openreview.net/forum?id=atWPmfdE8a,S$^2$V2V: Training-Free Video-to-Video with Sparse Points and Motion Guidance,"Most existing training-free, motion-controllable video-to-video generation methods typically operate on attention maps or noise estimation for motion guidance. Despite development, they often struggle to maintain consistent temporal coherence across frames and to accurately follow the guided motion. In this paper, we propose S$^2$V2V, a novel training-free paradigm with double sparse guidance, to address the challenge of generating temporally consistent videos with motion guidance. Specifically, we introduce two types of explicit guidance from the reference videos, i.e., i) sparse point guidance, extracted from inter-frame motion correlation patterns at selected sparse key points, and ii) sparsity-based motion guidance, obtained by refining motion correlation patterns in a local region around those sparse points. To further improve temporal consistency, we incorporate a sparse motion consistency loss during the denoising process, encouraging the generated motion representations to align with the reference guidance in the sparse regions. The gradient of this loss in latent space is then used to steer the generation toward precise motion control. Extensive experiments demonstrate that S$^2$V2V sets a new standard for efficient, temporally coherent video generation in various scenarios, particularly in local object motion and box-trajectory-guided motion.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Edmond S. L. Ho
259,https://openreview.net/forum?id=lZM5akOneR,Revisiting Entropy Minimization for Long-Sequence Continual Test-Time Adaptation,"Deep neural networks (DNNs) have revolutionized a wide range of tasks, yet they remain vulnerable to distributional shifts between training and test data, which is a common occurrence in real-world scenarios. These shifts often unfold continually over time, posing significant challenges for test-time adaptation. A critical issue we identify in this setting is \textbf{noisy label memorization}, where the model gradually overfits to its own erroneous predictions (pseudo-labels), leading to significant performance degradation. This problem is particularly severe in \textbf{long-sequence} continual test-time adaptation, where the model must adapt continuously in non-stationary environments. To address this, we propose a novel methodology that strategically constrains weight updates to prevent noisy labels from degrading the model, resulting in significant performance improvements, particularly in long-sequence continual test-time adaptation (CoTTA) scenarios. Extensive experiments on benchmarks such as CIFAR10-C, CIFAR100-C, ImageNet-C, CCC, and DomainNet demonstrate that our method not only outperforms state-of-the-art CoTTA techniques but also ensures sustained model reliability and robustness over time. Furthermore, our method exhibits greater stability across varying sample sizes and batch sizes, with reduced sensitivity to model selection—all achieved without the need for source data calibration.",5,3,~Sungho_Shin3|~Brejesh_Lall1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jun Liu
261,https://openreview.net/forum?id=f0IpIa19mJ,ADIR: Adaptive Diffusion for Image Reconstruction,"In recent years, denoising diffusion models have demonstrated outstanding image generation performance. The information on natural images captured by these models is useful for many image reconstruction applications, where the task is to restore a clean image from its degraded observation. In this work, we propose a conditional sampling scheme that exploits the prior learned by diffusion models while retaining agreement with the measurements. We then combine it with a novel approach for adapting pre-trained diffusion denoising networks to their input. We perform the adaptation using images that are ""nearest neighbors"" to the degraded image, retrieved from a diverse dataset using an off-the-shelf visual-language model. To evaluate our method, we test it on two state-of-the-art publicly available diffusion models, Stable Diffusion and Guided Diffusion. We show that our proposed Adaptive Diffusion for Image Reconstruction (ADIR) approach achieves significant improvement in image reconstruction tasks. Our code will be available online upon publication.",5,4,~Jianjia_Wang1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Jun Liu
265,https://openreview.net/forum?id=gB7BFPYA9Q,Enhancing Visual Tracking by Leveraging High-frequency Information within Event Signals,"Traditional object trackers struggle in degraded scenarios, lacking sufficient appearance details of moving targets for precise tracking. Recent trackers have integrated high-frequency event signals to assist tracking. However, they neglect the high-temporal-resolution motion information inherent in events, limiting their performance especially in occlusion and background clutter. To address these challenges, we propose HFTrack, a novel tracker designed to fully leverage the spatio-temporal high-frequency information within event signals, thereby enhancing the tracking performance. Specifically, we introduce a frequency-based feature enhancement module, which enriches the frame feature with high-frequency components from events in frequency space, capturing detailed appearance information of moving targets. Additionally, we propose a spatio-temporal information decoder with an auto-regressive temporal query, integrating both historical motion cues from events and enhanced spatial features for robust target localization. Experimental results demonstrate that our HFTrack significantly outperforms existing trackers, showcasing its strong ability to track the target under challenging conditions.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Jun Liu
270,https://openreview.net/forum?id=EZDLjfq3YT,FaceGCD: Generalized Face Discovery via Dynamic Prefix Generation,"Recognizing and differentiating among both familiar and unfamiliar faces is a critical capability for face recognition systems and a key step toward artificial general intelligence (AGI). Motivated by this ability, this paper introduces $\textit{generalized face discovery}$ (GFD), a novel open-world face recognition task that unifies traditional face identification with $\textit{generalized category discovery}$ (GCD). GFD requires recognizing both labeled and unlabeled known identities (IDs) while simultaneously discovering new, previously unseen IDs. Unlike typical GCD settings, GFD poses unique challenges due to the high cardinality and fine-grained nature of face IDs, rendering existing GCD approaches ineffective. To tackle this problem, we propose $\textit{FaceGCD}$, a method that dynamically constructs instance-specific feature extractors using lightweight, layer-wise prefixes. These prefixes are generated on the fly by a $\textit{HyperNetwork}$, which adaptively outputs a set of prefix generators conditioned on each input image. This dynamic design enables FaceGCD to capture subtle identity-specific cues without relying on high-capacity static models. Extensive experiments demonstrate that FaceGCD significantly outperforms existing GCD methods and a strong face recognition baseline, $\textit{ArcFace}$, achieving state-of-the-art results on the GFD task and advancing toward open-world face recognition.",5,3,~João_C._Neves1|~Deen_Dayal_Mohan2,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Jun Liu
272,https://openreview.net/forum?id=wvVQT7T8wm,B-RIGHT: Benchmark Re-evaluation for Integrity in Generalized Human-Object Interaction Testing,"Human-object interaction (HOI) detection aims to understand complex relationships between humans and objects, but existing benchmarks like HICO-DET suffer from severe class imbalance and inconsistent train-test splits, compromising reliable evaluations. To address these issues, we introduce **B-RIGHT** (**B**enchmark **R**e-evaluation for **I**ntegrity in **G**eneralized **H**uman-Object Interaction **T**esting), a systematically balanced dataset constructed via a novel balancing algorithm and an automated image generation-and-filtering pipeline. By ensuring uniform representation across HOI classes, B-RIGHT significantly reduces performance variance. Our re-evaluation of state-of-the-art methods reveals substantial shifts in model rankings compared to HICO-DET, highlighting previously hidden biases. These results underscore the critical importance of balanced benchmarks for fair and insightful model comparisons. The dataset is
publicly available at [B-RIGHT](https://drive.google.com/drive/folders/1GFZuVfFdkY1z4CIp1PQhiuVtx37ZmedB?usp=sharing]).",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Accept (Poster),Accept,Edmond S. L. Ho
276,https://openreview.net/forum?id=aK6FkHgLGz,Learning Event-guided Exposure-agnostic Video Frame Interpolation via Adaptive Feature Blending,"Exposure-agnostic video frame interpolation (VFI) is a challenging task that aims to recover sharp, high-frame-rate videos from blurry, low-frame-rate inputs captured under unknown and dynamic exposure conditions. Event cameras are sensors with high temporal resolution, making them especially advantageous for this task. However, existing event-guided methods struggle to produce satisfactory results on severely low-frame-rate blurry videos due to the lack of temporal constraints. In this paper, we introduce a novel event-guided framework for exposure-agnostic VFI, addressing this limitation through two key components: a Target-adaptive Event Sampling (TES) and a Target-adaptive Importance Mapping (TIM). Specifically, TES samples events around the target timestamp and the unknown exposure time to better align them with the corresponding blurry frames. TIM then generates an importance map that considers the temporal proximity and spatial relevance of consecutive features to the target. Guided by this map, our framework adaptively blends consecutive features, allowing temporally aligned features to serve as the primary cues while spatially relevant ones offer complementary support. Extensive experiments on both synthetic and real-world datasets demonstrate the effectiveness of our approach in exposure-agnostic VFI scenarios. Codes will be made publicly available.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Charith Abhayaratne
277,https://openreview.net/forum?id=rGxKKfsmI4,CFFlow: An Optical Flow Estimation Hinging on Cross-Frequency Attention,"Due to issues in training datasets and motion estimation in optical flow, existing optical flow models overly emphasize surface-level information features, leading to inaccurate optical flow estimations. Through theoretical analysis, we reveal that multi-frame approaches require more attention to interconnections among diverse information than two-frame methods. Consequently, we propose \textbf{CFFlow}, which integrates cross-frequency information into optical flow estimation networks. To address challenges posed by large displacements and small object motion in real-world scenarios, we introduce two specialized modules: Large Displacement Attention (LDA) and Small Object Displacement Attention (SODA), designed to handle distinct motion patterns. CFFlow effectively resolves small target mismatches and large displacement challenges, achieving superior optical flow estimation accuracy. On Sintel and KITTI benchmarks, our CFFlow attains an Average Endpoint Error (AEPE) of \textbf{0.99} (clean pass) and \textbf{1.65} (final pass), with an F1-all error of \textbf{4.21\%}, ranking first among all three-frame and two-frame methods.",3,3,,N/A,N/A,N/A,N/A,N/A,N/A,1,1,Weak Accept (Poster),Accept,Edmond S. L. Ho
